epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1103.42,1.67682,1.24323,1.36332,0.67739,0.57108,0.61431,0.28164,1.66569,1.39781,1.37503,0.00333148,0.00333148,0.0700167
2,1591.71,1.49667,0.92856,1.26986,0.7221,0.70779,0.74965,0.3958,1.42081,1.02383,1.23592,0.00633491,0.00633491,0.0396868
3,2032.03,1.37693,0.80241,1.20814,0.83617,0.77693,0.84011,0.467,1.33356,0.76147,1.19157,0.00900833,0.00900833,0.00902685
