epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,563.019,1.67682,1.24323,1.36332,0.67739,0.57108,0.61431,0.28164,1.66569,1.39781,1.37503,0.00333148,0.00333148,0.0700167
2,1051.17,1.49667,0.92856,1.26986,0.7221,0.70779,0.74965,0.3958,1.42081,1.02383,1.23592,0.00633491,0.00633491,0.0396868
3,1541.08,1.37693,0.80241,1.20814,0.83617,0.77693,0.84011,0.467,1.33356,0.76147,1.19157,0.00900833,0.00900833,0.00902685
4,2038.78,1.28791,0.71704,1.16303,0.84195,0.80265,0.85092,0.49219,1.27232,0.69001,1.16306,0.008515,0.008515,0.008515
5,2505.75,1.21361,0.65773,1.12602,0.86526,0.82443,0.87216,0.51552,1.21224,0.63466,1.13263,0.00802,0.00802,0.00802
6,3023.99,1.15911,0.61768,1.10036,0.88587,0.83891,0.88603,0.52957,1.19435,0.61496,1.13141,0.007525,0.007525,0.007525
7,3515.77,1.11161,0.58676,1.07809,0.87878,0.85338,0.89258,0.53513,1.17174,0.59071,1.12175,0.00703,0.00703,0.00703
